"study","treatment"
1,"Placebo"
1,"bovoculi_C_licenced"
1,"bovis_licenced"
1,"both"
2,"Placebo"
2,"bovoculi_C_licenced"
3,"Placebo"
3,"bovoculi_C_licenced"
4,"Placebo"
4,"bovis_licenced"
5,"Placebo"
5,"bovoculi_autogenous"
6,"Placebo"
6,"bovoculi_autogenous"
7,"Placebo"
7,"bovoculi_autogenous"
8,"Placebo"
8,"bovis_autogenous"
9,"Placebo"
9,"bovis_autogenous"
10,"Placebo"
10,"bovis_autogenous"
11,"Placebo"
11,"bovis_autogenous"
12,"Placebo"
12,"bovis_autogenous"
13,"Placebo"
13,"bovis_autogenous"
14,"Placebo"
14,"bovis_autogenous"
15,"Placebo"
15,"bovis_autogenous"
16,"Placebo"
16,"bovis_autogenous"
